# Every constructor in crates/rexx-exec/src whose return type is Loud or Raised,
# with the surface its construction sites are on and, for the ones a message send
# itself can produce, whether an instance-receiver probe reached that site and how
# it read against the oracle.
#
# Derived, not written: crates/rexx-exec/tests/refusal_sites.rs re-derives columns
# 1 to 4 from the source on every run and fails if this file disagrees, so a
# constructor added later is red here rather than silently unwalked. That test also
# holds the `answer` column against the constructor's own source, in both
# directions -- see `reached` below.
#
# surface -- which files the construction sites are in. `send` is dispatch.rs
# (outside its #[cfg(test)] mod tests) and dispatch/native.rs, where
# Interp::send_message and Interp::enter_method_body both are; `ir` is ir.rs
# and ir/; `body` is everything else.
#
# verdict, for the `send` rows only -- about the program in the witness column:
#   agrees    probed against the oracle on both engines, three descriptors and
#             exit status identical.
#   diverges  probed and does not agree. Every one is in the Task 9 report with
#             an owner.
#   recorded  a divergence the phase plan records as not to be built.
#   not-run   the shape is in corpus/oracle-crashes.txt and must never be run.
#   off-send-surface  no construction site the send machinery reaches.
#
# reached -- whether the probe reached THIS constructor rather than a check that
# fires first. `yes` requires `answer` to be an identifier the constructor itself
# can produce: an "M.N" it builds with syntax(M, N), or text at its own definition
# or at one of its construction sites. `no` requires `answer` to be none of those,
# and to say why there is no route. The test enforces both directions, so a row
# cannot be marked reached without its own identifier or unreached while carrying
# one.
#
# witness -- the program, spelled the way it has to be spelled. Where a nearby
# spelling agrees, the row says so: a reader who tries the obvious one, sees
# byte-identical output and deletes the row is the failure this column exists to
# stop.
#
# The test does not re-run a probe: the `witness` column is prose rather than a
# runnable program, and re-running one would need it to be a program.
# (Integration-test binaries under crates/rexx-exec/tests/ do reach the oracle
# through support::oracle -- licensed_divergences.rs among them -- so the
# obstacle is this column's medium and not the tooling.) `answer` therefore
# ties the row to the source, not to the transcript.
#
# Two constructors may share an "M.N", and where they do this check cannot tell
# their rows apart: transposing both the `answer` and the `witness` of
# argument_needs_a_string_value with named_argument_needs_a_string_value
# (88.909), or of argument_not_a_class with scope_override_not_a_class
# (88.914), leaves every test in refusal_sites.rs green. Measured, both pairs.
# Those are the only such pairs, and
# `the_answers_more_than_one_row_shares_are_the_recorded_ones` is what keeps
# that sentence true rather than merely written down.
#
# kind	name	surface	definition	verdict	reached	answer	witness
Raised	abstract_class	send	crates/rexx-exec/src/error.rs:737	agrees	yes	98.989	say .K~new over ::class K abstract
Raised	abstract_metaclass	body	crates/rexx-exec/src/error.rs:693	off-send-surface	-	-	-
Raised	abstract_method	send	crates/rexx-exec/src/error.rs:1706	agrees	yes	93.965	.K~new~m over ::method m abstract
Loud	accessor_variable	send	crates/rexx-exec/src/lib.rs:1177	diverges	yes	a generated accessor for the attribute	say o~"A.B" over ::attribute "A.B" -- o~a is 97.1 on both sides and reaches nothing
Raised	argument_needs_a_string_value	send	crates/rexx-exec/src/error.rs:1954	agrees	yes	88.909	o~hasMethod(o)
Raised	argument_not_a_class	send	crates/rexx-exec/src/error.rs:1928	agrees	yes	88.914	o~isA(5)
Raised	argument_not_a_pad	body	crates/rexx-exec/src/error.rs:1073	off-send-surface	-	-	-
Raised	argument_not_a_pad_or_class_name	body	crates/rexx-exec/src/error.rs:1458	off-send-surface	-	-	-
Raised	argument_not_a_symbol	body	crates/rexx-exec/src/error.rs:1114	off-send-surface	-	-	-
Raised	argument_not_in_list	body	crates/rexx-exec/src/error.rs:1223	off-send-surface	-	-	-
Raised	argument_not_non_negative	body+send	crates/rexx-exec/src/error.rs:1391	agrees	yes	93.906	.array~new(-1)
Raised	argument_not_non_negative_call	body	crates/rexx-exec/src/error.rs:1596	off-send-surface	-	-	-
Raised	argument_not_positive	body	crates/rexx-exec/src/error.rs:1148	off-send-surface	-	-	-
Raised	argument_not_single_dimensional	send	crates/rexx-exec/src/error.rs:2584	agrees	yes	88.913	o~sendWith('M', .array~new(2,2)) -- ~run's A style is the same raise under the name "argument array", and .array~new(2) answers on both sides
Raised	argument_not_whole	body	crates/rexx-exec/src/error.rs:1049	off-send-surface	-	-	-
Raised	argument_out_of_range	body	crates/rexx-exec/src/error.rs:1191	off-send-surface	-	-	-
Loud	array_index_hole	send	crates/rexx-exec/src/lib.rs:852	not-run	no	oracle-crashes.txt entry 6 (SF 2085): never run	-
Raised	array_too_big	send	crates/rexx-exec/src/error.rs:1869	agrees	yes	93.959	.array~new(100000000000000001)
