task	commit	axis	build	scope	arm	size	instrument	value_median	value_min	value_max	value_rounds
7-M2-control	ced6c209	varlookup	head	arm_ratio	ir/tw	small	instructions:u	1.021182	1.021182	1.021182	5
7-M2-control	ced6c209	varlookup	head	absolute	tw	small	instructions:u	72656654173.000000	72656653707.000000	72656654256.000000	5
7-M2-control	ced6c209	varlookup	head	absolute	ir	small	instructions:u	74195661250.000000	74195660880.000000	74195661879.000000	5
7-M2-control	ced6c209	varlookup	head	arm_ratio	ir/tw	large	instructions:u	1.021182	1.021182	1.021182	5
7-M2-control	ced6c209	varlookup	head	absolute	tw	large	instructions:u	145312693879.000000	145312693268.000000	145312694929.000000	5
7-M2-control	ced6c209	varlookup	head	absolute	ir	large	instructions:u	148390701147.000000	148390700796.000000	148390702046.000000	5
7-M2-control	ced6c209	varlookup	head	per_pass	tw	-	instructions:u	3824.002098	3824.002058	3824.002141	5
7-M2-control	ced6c209	varlookup	head	fixed	tw	-	instructions:u	614058.000000	613535.000000	615078.000000	5
7-M2-control	ced6c209	varlookup	head	per_pass	ir	-	instructions:u	3905.002081	3905.002064	3905.002158	5
7-M2-control	ced6c209	varlookup	head	fixed	ir	-	instructions:u	621704.000000	620030.000000	622663.000000	5
7-M2-control	ced6c209	varlookup	head	per_pass_gap	ir-tw	-	instructions:u	81.000005	80.999970	81.000024	5
7-M2-control	ced6c209	varlookup	head	arm_ratio	ir/tw	small	cycles:u	1.008124	1.006562	1.014682	5
7-M2-control	ced6c209	varlookup	head	absolute	tw	small	cycles:u	15470448753.000000	15360578373.000000	15504943639.000000	5
7-M2-control	ced6c209	varlookup	head	absolute	ir	small	cycles:u	15606692302.000000	15544646034.000000	15697580098.000000	5
7-M2-control	ced6c209	varlookup	head	arm_ratio	ir/tw	large	cycles:u	1.011126	1.007319	1.019753	5
7-M2-control	ced6c209	varlookup	head	absolute	tw	large	cycles:u	30855040379.000000	30712483031.000000	30884698906.000000	5
7-M2-control	ced6c209	varlookup	head	absolute	ir	large	cycles:u	31147832287.000000	31110745960.000000	31489330393.000000	5
7-M2-control	ced6c209	varlookup	head	per_pass	tw	-	cycles:u	809.460804	807.994982	811.473171	5
7-M2-control	ced6c209	varlookup	head	fixed	tw	-	cycles:u	61525840.000000	8673715.000000	125188372.000000	5
7-M2-control	ced6c209	varlookup	head	per_pass	ir	-	cycles:u	821.073543	816.002824	831.144752	5
7-M2-control	ced6c209	varlookup	head	fixed	ir	-	cycles:u	-52962355.000000	-109032588.000000	102638644.000000	5
7-M2-control	ced6c209	varlookup	head	per_pass_gap	ir-tw	-	cycles:u	12.404651	6.542021	20.148810	5
7-M2-control	ced6c209	varlookup	control	arm_ratio	ir/tw	small	instructions:u	1.037395	1.037395	1.037395	5
7-M2-control	ced6c209	varlookup	control	absolute	tw	small	instructions:u	72656654220.000000	72656653793.000000	72656654765.000000	5
7-M2-control	ced6c209	varlookup	control	absolute	ir	small	instructions:u	75373661302.000000	75373661270.000000	75373661644.000000	5
7-M2-control	ced6c209	varlookup	control	arm_ratio	ir/tw	large	instructions:u	1.037395	1.037395	1.037395	5
7-M2-control	ced6c209	varlookup	control	absolute	tw	large	instructions:u	145312693726.000000	145312693324.000000	145312694352.000000	5
7-M2-control	ced6c209	varlookup	control	absolute	ir	large	instructions:u	150746701749.000000	150746701430.000000	150746701993.000000	5
7-M2-control	ced6c209	varlookup	control	per_pass	tw	-	instructions:u	3824.002081	3824.002056	3824.002112	5
7-M2-control	ced6c209	varlookup	control	fixed	tw	-	instructions:u	614262.000000	614088.000000	615698.000000	5
