task	commit	axis	build	scope	arm	size	instrument	value_median	value_min	value_max	value_rounds
3	8bcf6375e	alloc4c	pinned	arm_ratio	ir/tw	small	instructions:u	0.705355	0.705334	0.705416	5
3	8bcf6375e	alloc4c	pinned	absolute	tw	small	instructions:u	2908416404.000000	2908285911.000000	2908605267.000000	5
3	8bcf6375e	alloc4c	pinned	absolute	ir	small	instructions:u	2051438621.000000	2051372157.000000	2051672354.000000	5
3	8bcf6375e	alloc4c	pinned	arm_ratio	ir/tw	large	instructions:u	0.704440	0.704410	0.704451	5
3	8bcf6375e	alloc4c	pinned	absolute	tw	large	instructions:u	5798157722.000000	5798029766.000000	5798443845.000000	5
3	8bcf6375e	alloc4c	pinned	absolute	ir	large	instructions:u	4084429528.000000	4084395494.000000	4084510055.000000	5
3	8bcf6375e	alloc4c	pinned	per_pass	tw	-	instructions:u	5779.482636	5779.215328	5779.775680	5
3	8bcf6375e	alloc4c	pinned	fixed	tw	-	instructions:u	18675086.000000	18398071.000000	18858255.000000	5
3	8bcf6375e	alloc4c	pinned	per_pass	ir	-	instructions:u	4065.913746	4065.570994	4066.275796	5
3	8bcf6375e	alloc4c	pinned	fixed	ir	-	instructions:u	18481748.000000	18234259.000000	18864318.000000	5
3	8bcf6375e	alloc4c	pinned	per_pass_gap	ir-tw	-	instructions:u	-1713.499884	-1714.061084	-1713.301582	5
3	8bcf6375e	alloc4c	pinned	arm_ratio	ir/tw	small	cycles:u	0.752184	0.732901	0.770164	5
3	8bcf6375e	alloc4c	pinned	absolute	tw	small	cycles:u	953831696.000000	944971528.000000	966836291.000000	5
3	8bcf6375e	alloc4c	pinned	absolute	ir	small	cycles:u	717457258.000000	708595388.000000	727783336.000000	5
3	8bcf6375e	alloc4c	pinned	arm_ratio	ir/tw	large	cycles:u	0.783011	0.774215	0.791054	5
3	8bcf6375e	alloc4c	pinned	absolute	tw	large	cycles:u	2155281370.000000	2152722020.000000	2165342256.000000	5
3	8bcf6375e	alloc4c	pinned	absolute	ir	large	cycles:u	1686197265.000000	1674583444.000000	1712902341.000000	5
3	8bcf6375e	alloc4c	pinned	per_pass	tw	-	cycles:u	2402.899348	2393.536270	2427.350672	5
3	8bcf6375e	alloc4c	pinned	fixed	tw	-	cycles:u	-247617978.000000	-264407388.000000	-231669674.000000	5
3	8bcf6375e	alloc4c	pinned	per_pass	ir	-	cycles:u	1929.044680	1904.585038	2008.613906	5
3	8bcf6375e	alloc4c	pinned	fixed	ir	-	cycles:u	-249353532.000000	-295711565.000000	-224509183.000000	5
3	8bcf6375e	alloc4c	pinned	per_pass_gap	ir-tw	-	cycles:u	-464.491590	-510.915946	-388.398024	5
3	8bcf6375e	alloc4c	head	arm_ratio	ir/tw	small	instructions:u	0.705328	0.705279	0.705392	5
3	8bcf6375e	alloc4c	head	absolute	tw	small	instructions:u	2908013853.000000	2907946521.000000	2908162968.000000	5
3	8bcf6375e	alloc4c	head	absolute	ir	small	instructions:u	2051153132.000000	2050959003.000000	2051242929.000000	5
3	8bcf6375e	alloc4c	head	arm_ratio	ir/tw	large	instructions:u	0.704342	0.704322	0.704386	5
3	8bcf6375e	alloc4c	head	absolute	tw	large	instructions:u	5796724150.000000	5796705246.000000	5796874507.000000	5
3	8bcf6375e	alloc4c	head	absolute	ir	large	instructions:u	4082874207.000000	4082787362.000000	4083116574.000000	5
3	8bcf6375e	alloc4c	head	per_pass	tw	-	instructions:u	5777.386648	5777.118898	5777.721308	5
3	8bcf6375e	alloc4c	head	fixed	tw	-	instructions:u	19318598.000000	19153199.000000	19603519.000000	5
3	8bcf6375e	alloc4c	head	per_pass	ir	-	instructions:u	4063.427764	4063.262556	4064.315142	5
3	8bcf6375e	alloc4c	head	fixed	ir	-	instructions:u	19435014.000000	18801432.000000	19611651.000000	5
3	8bcf6375e	alloc4c	head	per_pass_gap	ir-tw	-	instructions:u	-1713.766550	-1714.293544	-1713.071506	5
3	8bcf6375e	alloc4c	head	arm_ratio	ir/tw	small	cycles:u	0.748457	0.704531	0.813257	5
3	8bcf6375e	alloc4c	head	absolute	tw	small	cycles:u	927862654.000000	917975761.000000	986095272.000000	5
3	8bcf6375e	alloc4c	head	absolute	ir	small	cycles:u	698524929.000000	694465331.000000	750690195.000000	5
3	8bcf6375e	alloc4c	head	arm_ratio	ir/tw	large	cycles:u	0.787742	0.767996	0.791602	5
3	8bcf6375e	alloc4c	head	absolute	tw	large	cycles:u	2109035584.000000	2098897502.000000	2144802603.000000	5
3	8bcf6375e	alloc4c	head	absolute	ir	large	cycles:u	1661492136.000000	1647200867.000000	1672647991.000000	5
3	8bcf6375e	alloc4c	head	per_pass	tw	-	cycles:u	2351.661912	2227.913502	2453.653684	5
